image,width,height,experiment,input,output,command
image_720p,1280,720,cpu,"/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_720p_1280x720.pgm","/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_720p/image_720p_cpu.pgm",""/home/compute/w.yuanji/Desktop/cuda_canny_project/canny" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_720p_1280x720.pgm" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_720p/image_720p_cpu.pgm" --mode cpu --repeat 10"
image_720p,1280,720,dense,"/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_720p_1280x720.pgm","/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_720p/image_720p_dense.pgm",""/home/compute/w.yuanji/Desktop/cuda_canny_project/canny" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_720p_1280x720.pgm" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_720p/image_720p_dense.pgm" --mode dense --compare-cpu --repeat 10"
image_720p,1280,720,opt,"/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_720p_1280x720.pgm","/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_720p/image_720p_opt.pgm",""/home/compute/w.yuanji/Desktop/cuda_canny_project/canny" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_720p_1280x720.pgm" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_720p/image_720p_opt.pgm" --mode opt --compare-cpu --repeat 10"
image_720p,1280,720,sparse,"/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_720p_1280x720.pgm","/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_720p/image_720p_sparse.pgm",""/home/compute/w.yuanji/Desktop/cuda_canny_project/canny" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_720p_1280x720.pgm" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_720p/image_720p_sparse.pgm" --mode sparse --compare-cpu --repeat 10"
image_720p,1280,720,sparse_low_threshold,"/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_720p_1280x720.pgm","/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_720p/image_720p_sparse_low_threshold.pgm",""/home/compute/w.yuanji/Desktop/cuda_canny_project/canny" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_720p_1280x720.pgm" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_720p/image_720p_sparse_low_threshold.pgm" --mode sparse --low 20 --high 60 --compare-cpu --repeat 10"
image_720p,1280,720,sparse_mid_threshold,"/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_720p_1280x720.pgm","/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_720p/image_720p_sparse_mid_threshold.pgm",""/home/compute/w.yuanji/Desktop/cuda_canny_project/canny" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_720p_1280x720.pgm" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_720p/image_720p_sparse_mid_threshold.pgm" --mode sparse --low 50 --high 100 --compare-cpu --repeat 10"
image_720p,1280,720,sparse_high_threshold,"/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_720p_1280x720.pgm","/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_720p/image_720p_sparse_high_threshold.pgm",""/home/compute/w.yuanji/Desktop/cuda_canny_project/canny" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_720p_1280x720.pgm" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_720p/image_720p_sparse_high_threshold.pgm" --mode sparse --low 80 --high 160 --compare-cpu --repeat 10"
image_1080p,1920,1080,cpu,"/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_1080p_1920x1080.pgm","/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_1080p/image_1080p_cpu.pgm",""/home/compute/w.yuanji/Desktop/cuda_canny_project/canny" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_1080p_1920x1080.pgm" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_1080p/image_1080p_cpu.pgm" --mode cpu --repeat 10"
image_1080p,1920,1080,dense,"/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_1080p_1920x1080.pgm","/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_1080p/image_1080p_dense.pgm",""/home/compute/w.yuanji/Desktop/cuda_canny_project/canny" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_1080p_1920x1080.pgm" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_1080p/image_1080p_dense.pgm" --mode dense --compare-cpu --repeat 10"
image_1080p,1920,1080,opt,"/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_1080p_1920x1080.pgm","/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_1080p/image_1080p_opt.pgm",""/home/compute/w.yuanji/Desktop/cuda_canny_project/canny" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_images/image_1080p_1920x1080.pgm" "/home/compute/w.yuanji/Desktop/cuda_canny_project/experiment_results/image_1080p/image_1080p_opt.pgm" --mode opt --compare-cpu --repeat 10"
